351.088,-0.00310882
353.804,0.000160013
355.431,0.0128467
357.873,0.0255678
360.315,0.0414433
362.211,0.0636051
363.835,0.08891
365.458,0.114215
366.537,0.142651
367.888,0.171099
370.046,0.231127
370.853,0.262707
371.388,0.29112
372.195,0.3227
372.995,0.379516
373.53,0.411084
374.063,0.448962
374.598,0.48053
376.2,0.584698
376.735,0.616266
377.269,0.650989
377.804,0.682557
378.339,0.714126
378.874,0.742539
380.481,0.830935
381.287,0.862515
381.823,0.890928
383.174,0.919376
384.253,0.947813
385.877,0.973118
387.23,0.992102
389.945,1.00168
392.393,0.995474
393.755,0.982913
395.935,0.960923
397.571,0.938909
399.208,0.913742
400.028,0.898003
401.122,0.869658
402.217,0.841313
404.68,0.778325
405.774,0.74998
406.869,0.721635
407.965,0.690135
409.059,0.66179
410.154,0.633445
412.615,0.576766
413.981,0.548432
415.076,0.520087
416.442,0.494908
417.808,0.466574
419.174,0.438241
422.722,0.384762
424.359,0.359594
425.177,0.347011
427.086,0.325009
428.723,0.299841
430.631,0.277839
432.539,0.255838
434.719,0.233847
439.622,0.189889
441.801,0.171054
443.98,0.152218
446.159,0.136537
448.608,0.120867
450.241,0.111472
452.691,0.0989565
455.41,0.0896072
457.859,0.0770919
460.308,0.0677311
463.027,0.0615364
465.746,0.0553416
468.193,0.0491354
470.911,0.0460951
473.63,0.0399003
475.261,0.0399689
477.98,0.0337741
480.426,0.0307225
483.145,0.0276822
485.863,0.024642
488.581,0.0216017
